"","Date","Username","Located","Rating","Review"
"75","3/3/2017","Nicolas T.","Kent, OH",2,"Tonight I went to dinner at Ray's Place in Kent Ohio and it was an underwhelming experience.*Drinks*    Crown Apple & Diet Coke*Food*    Bacon Cheeseburger add Mushrooms    Poutine FriesRay's Place was nice and busy as normal. Finding a seat was difficult but once I had one I was engaged within 5 minutes and ordered my drink. I sat at the bar as it was only place open and my server/bartender was kind enough to ask if i wanted a single or double. Drink was served quickly and was very well made.Food was served quickly enough as well. Sadly this is where i had a lack luster experience. The Burger was good. Nothing amazing, no stand out flavor but a burger cooked properly. The Poutine option I chose was where the entire experience was really hurt. Their Poutine is serves with fries, pulled brisket?, gravy, mozzarella balls. Now the Mozzarella was the most flavorful thing in the whole thing... Fries tasted unseasoned, and the meat was...... not great more like day old stew beef? That was not the worst part.. All oft hat could have been saved if well the gravy wasn't just terrible. congealed flavorless. I added pepper twice and still did not get any actual flavor... Almost like someone just thickened a sauce leftover? Sadly this kinda ruined my mean as it was largest part of it.All of that for 25$ I would say Probably overpriced. If the Poutine wasnt terrible I would say pricey but worth it. Sadly its left as just overpriced."
"76","2/27/2015","Debra V.","Chagrin Falls, OH",5,"First saw Ray's Place on TV, so had to try it, and it gave me a reason to drive to Kent.  Comfortable old college bar, clean and nice, including the bathrooms.  Singles, a group of older folks, a family.....all having dinner at Ray's!  The burger with the soft round bun was delicious.....have it your way.  The crunchy battered onion rings were....can't eat just two, eat more!  I got dinner and tip under $10. Has a big picture window with a nice outdoor view.  Good choice."
"77","12/13/2019","Ashley S.","Kent, OH",5,"Ray's is one of the oldest bars in Kent and holds a special place in the heart of nearly every local & student! If you are from the area, you know all about Ray's. But if you're not, it's a classic themed, two story bar and restaurant that serves typical American food and good beer (as well as a full bar). At night, the upstairs area turns into the typical bar scene. I've never actually hung out downstairs after hours... I think maybe the older crowd hangs out down there?If it's your birthday you get a free shot by spinning a giant wheel and taking the one it lands on. But these shots are purposely made the be really gross and unusual"
"78","10/4/2017","Roz B.","Brecksville, OH",5,"These angels lost power tonight (along with the rest of the bars on Franklin and some on Water). I placed my food order about 10-15 mins before power went out and they got me my order. I was looking forward to Ray's wings all day. Not only that, but they got everything correct in the dark. Most places can't deliver you a medium-rare burger with power on, let alone in the dark! Thanks so much to the kitchen staff and the bar tenders for being flexible and getting us our food order!!! Long live Ray's!!"
"79","2/24/2017","Diana R.","Dayton, OH",4,"Stopped by after visiting Kent State.  This restaurant was pretty busy for 2 pm, but there were tables still available.  We had a pulled pork sandwich, Cuban sandwich, bacon cheeseburger and kids spaghetti.  None of the sandwiches came with a side, you had to order sides separate, so we ordered a basket of fries.  It was more than enough for 3 people.  The sandwiches were liked by us who had them--I had the Cuban and it was amazing!  Food came out quick and was hot.  The kids spaghetti was disappointing.  It was a plate of noodles with a small cup of sauce and one meatball.  No additional side (other kids meals came with fries or applesauce).    Still a good place to stop for a meal!"
"80","10/1/2019","Barb K.","Warren, OH",4,"Old college hangout with really good food and service. Eclectic menu. ( I had chicken stir fry and my husband had a great hamburger). The place was crowded and it was clean and a lot of fun."
"81","7/28/2017","Emma B.","Centerville, OH",3,"This restaurant is typically for Kent State alum reliving their glory days and it shows. The service was good, though it was probably due to it being 4:30 in the afternoon during the summer. Portions were big for a fairly inexpensive price per person, so it would probably be a  good place to go with large groups. I ordered a turkey burger and shared one plate of french fries and one plate of their signature sweet potato fries with one other person and we struggled finishing it. The turkey burger was good but nothing to write home about and the french fries were a little undercooked and flavorless. However, their sweet potato fries were phenomenal and if I ever came back I would get those and leave."
"82","7/8/2019","Daria F.","Cleveland, OH",5,"It's all about the sweet potato fries aka sun fries! 5/5 just for those, to be honest."
"83","6/21/2019",NA,NA,NA,NA
"84","2/5/2019",NA,NA,NA,NA
"85","8/26/2019","Hayley F.","San Francisco, CA",5,"Good service, very attentive! We had wings md sandwiches which was all good and sports bar like! We went to watch a football game and they have plenty of TVs. Cute little college town bar."
"86","3/11/2017","Amanda L.","Chicago, IL",5,"This place is really great for a big group of people. They're always packed, the drinks are super cheap while also having a huge option of beers, plus this is the oldest bar in Kent. Overall I would give it 5 stars, but one waitress did put a bad taste in my mouth.She came to the table to ask what we wanted and after my order in the worst tone and attitude ""are you gonna tab out, because you're not gonna do this over and over, so if you want more keep it open""I would recommend starting with ""would you like to open a tab?"" And if I said no then kindly inform me of the options.Also, weirdly smells like sewage in the back left corner of the bar. Once we moved we didn't smell it anymore."
"87","3/2/2017","Alicia O.","Cleveland, OH",5,"Ray's Place as a restaurant is about three or four stars. There's a lot on the menu, varying in quality, but at least you have the option.Ray's as a bar is the best spot in Kent. The upstairs level is very college-y, with a pool table, full bar, and brightly lit. It's always packed. The main floor/downstairs is cozily lit. The music is never intrusively loud, nor is the sound. Rays is the type of bar you can have a conversation at. If it's not a more mature crowd, then it's a more chill crowd. The people looking to get rowdy usually stop in to spin the birthday wheel and leave or go upstairs. One thing I cannot praise Rays enough for is forcing their bartenders to be educated on how to properly make a drink. Their legendary Long Island's are always consistent in taste. I've never had a drink made so poorly it was undrinkable, which I can't say for other bars in the area. Ray's is an awesome way to kick off, end, or even spend the night at. You'll never run into a sobbing drunk girl or someone passed out in the bathroom. You'll have quality drinks and a relaxed night."
"88","6/4/2019","Hunter W.","Berkley, MI",5,"Really really good tavern/pub hangout here. Great atmosphere with many tv's screens and an open floor. Theres even an upstairs! The people here are very friendly and helping. My southwest salad was absolutely HUGE and very very tasty. I also like the location alot in downtown Kent. A must if you're in the area."
"89","6/18/2017","Corella D.","Navarre, OH",5,"One of my favorite places on earth. We had the best times here in the late 90's. The ambiance can't be duplicated. Went yesterday and nothing has changed. Their fries are awesome! Smoked wings were great. I had the blue moon sandwich. It's way way better than Panini's. Please don't ever change or go out of business. I was so happy to be there yesterday."
"90","8/22/2011","Roth M.","Cincinnati, OH",4,"On an episode of Best Thing I Ever Ate on the Food Network, Michael Symon named the MoFo at Ray's the best burger he'd ever had... and he owns hamburger restaurants.So while in that part of the world, I stopped in for a MoFo. I'd been to Ray's before, but only for the brews, many, many years ago. I must say, the MoFo is gigantic, so much so that I believe it has it's own gravitational pull as mine practically imploded on itself. Easily the messiest burger I've ever had, but it was very, very tasty! Just know that this is a burger in which you might have to repent after eating, as your very soul may need a good scrub."
"91","7/9/2019","Trevor O.","Westerville, OH",4,"Great place! Great drinks, food, and very welcoming environment. Only complaint i would have is the staff is a little rude. One bartender in specific was asking if we were going to tip while we were still enjoying drinks and i feel like that's something you don't ask someone. I had a tab open so i was just going to tip based on how many drinks i had ordered like i Always do."
"92","9/28/2018","Leanne M.","Kailua, HI",5,"Had a great experience.   Really good food and great service.    Nice draft selection.   Had the gourmet stuffed burger, jerk fries, cheeseburger and calamari at our table.  All were delicious."
"93","5/23/2017","Tammy E.","Doylestown, OH",4,"It really had the feel of a Colorado Brewery, with the windows open to the street and the mellow tone.  Bar tender was uber friendly, attentive, and knowledgeable.  He made an amazing Black and Tan that was made with Rasputin instead of Guinness.  Fantastic!  Lots of good food options beyond the usual bar foods including mussels and some pickle fries.  Fun relaxing place.  Lots of beer choices.  Would like to try their club sandwich."
"94","8/6/2018","Jodi L.","Munroe Falls, OH",4,"We have been there three times and the food has always been good. Very good French onion soup and very large salads.  Service was a little slow but they were very busy so we didn't get too worked up about it. Enjoyable atmosphere.  We will be returning."
"95","2/24/2018",NA,NA,NA,NA
"96","5/29/2020","Elizabeth H.","Cypress, TX",1,"Ordered take out. The chicken was bad tasting, the beef was tough and a weird color. The guacamole was dark and not fresh. The chips were stale. I loved Tonys but Rays...no way. Wont be back and that is sad because i went to Tonys ll the time...very sad"
"97","6/29/2018","Linda P.","Troy, OH",4,"We were in town for a couple days and tried this place based on yelp ratings and reviews. Fantastic!  Any time we are in town we will be back!"
"98","2/24/2019","Brent R.","Kent, OH",5,"Staff was friendly, wings were amazing! I had the smoked wings with their hottest sauce and it wasn't absurdly hot. I tried to go back on a Friday night the same week and it was completely packed so I had to go somewhere else. I'll be back when it's not 'Parent's Weekend'."
"99","2/12/2017","Megan H.","Kent, OH",4,"As a current student at Kent State, I can honestly say that Rays has been a staple place for my friends and I to visit the past four years. Rays was actually the first place I ate at when visiting the university for the first time. When I come back as an alumni to recollect on the glory days, I will be sure to visit Rays. Almost any time someone visits me from out of town, I take them to Rays. It's a local staple, and I've found that if someone from out of town has heard of Kent, they most likely have heard of Rays. When I come to the restaurant during the day to eat, I usually get the veggie pita and fries. I'm a vegetarian, and this is one of my favorite places to get a veggie pita. When I come to Rays at night to go to the bar, it's is always busy! Every time I go to the bars in Kent, I end up at Rays at some point during the night. The Long Islands are what the bar is known for, and I usually like to go to the second floor if it's open since it's usually less crowded. Rays will for sure be one place that I will miss when I graduate."
"100","2/23/2019","Jim A.","Novelty, OH",4,"Ate their twice this week, and have been many times in the past. Good food, solid beer selection, and great atmosphere. Had a burger on wed night (spicy something or other) and a Cuban sandwich tonight. Burger was good, Cuban was outstanding. Very rare that I can't get through a meal, but I actually took half the Cuban to go, since it was so big. Good smoky pork and salty ham on flat bread. Finished it as soon as I got home. 45 minute drive from home, but well worth the trip!"
"101","5/21/2018","Keith S.","Kent, OH",5,"This place is a classic in Kent. Known and loved by many. I'm a particular fan of their well-priced burgers and sweet potato fries. The Cuban sandwich is also really good! Best places to sit are upstairs by windows, downstairs tucked in the booths in the room off to the back right or at either bar...upstairs bar is usually my preferred, though they usually have Boddington's on tap downstairs. Ray's serves a wide range of crowds from family at dinner to college students late at night. As the night goes on only expect fried food items from the kitchen."
"102","4/28/2014","Carl F.","Effingham, IL",4,"Another Yelp Success Story!   We were visiting the Kent area as my daughter just got accepted at Kent State.    After a great day spent on campus we started looking for a good place to eat and end the day.   Rays Place popped up on Yelp, it was close by, so in we went. It was on a Friday afternoon, just about ready to hit the dinner rush hour so we were lucky as we only had a 10 min wait or so.   In the mean time the smell of the food cooking and watching everyone guzzle down the beers made everything look very promising.   Clearly when you walk into Rays, there is no doubt this place has been around for some time and it is well used.    Not the cleanest place, BUT, by far not a dump.    The wait staff is energetic, know their way around the menu and provide good tips on what beer to get.   We started off with a few appetizers which one could make a meal of just by this menu alone.   But, we were in good spirits, having a lot of fun and we stuffed ourselves silly and order some main meals as well and boy they did not disappoint us.  Thank you Rays Place for putting the cherry on the top of a great day!"
"103","6/16/2018","Yosephin P.","Kent, OH",5,"Cool vibe to hangout anytime with friends and family  awesome service! I ordered long island tea and cherry bomb shots and so happy about it"
"104","12/2/2017","Adam Y.","Kent, OH",5,"My favorite place to grab a beer and a burger in Kent. I have lived here for 12 years and I would not recommend any other place!Very family friendly, relaxing environment. They have been around since the 30's and even have the old school cash registers.Many joyful memories are to be made at Rays!I used to drink with my professors after lab here, and I even convinced my Grandma to have her first beer here the day I graduated!They always have a huge list of beer on draft and always something I have not tried. Try a flight of 4 beers, you can't go wrong!The ""Sun Stix"" (sweet potato fries) are awesome and I routinely eat a family sized portion myself. Treat yourself to a burger, I have tried them all a dozen times and have a wonderful experience each time. And that's coming from a hard-to-please carnivore.Ray's is the place to be!"
"105","8/9/2019","John V.","Harrison Township, NJ",3,"Ray's has been around for a while and is highly regarded in the town.  The service is excellent, they have a great beer selection and many menu choices.   I had the chili which was quite tasty.  The burger was very good.  My wife had the chicken parm sandwich which arrived looking like it had just escaped an NHL game.  When we commented that it was very dark rather than golden brown we were told ""that's the way we cook it"".  She switched to a BLT, which other than not served on toasted bread was good.  Even though there is no smoking in the restaurant, there is a window to the street which is open to the sidewalk where people went outside to smoke.  If we are in town again, we would probably come again.  The service, people, people, ambiance, location, price and selections are a high 4 but the lack of a toaster, over cooked (or old oil) chicken parm take Ray's to a three."
"106","3/20/2016","Jonathan F.","Hudson, OH",2,"There is a group of us from work that have been coming to Ray's for Friday lunch for years.  So obviously I'm a regular, but I really think it is just OK.It is a landmark in Kent, been here forever.  You almost have to check it out at least once.For the most part it your typical bar food, with a little bit of an update.  Burgers, sandwiches, even some salads.  They used to have lunch specials, but they disappeared a while ago.  Generally, the more unhealthy (burgers, meatloaf sandwich, corned beef) the better it is; their healthier stuff isn't as good (though the taco salad is pretty good).  Everyone talks about their big baskets of fries, but I think the fries are just OK; non-crispy shoestring fries.It is kind of variable, some Fridays it is very busy, others are quiet.  There are days the kitchen and waitstaff is better than others.I'd probably even give it 2.5 stars if Yelp let me, but I'd struggle to give it 3.  I wish it was better than it really is."
"107","2/6/2018","Frank L.","Midlothian, VA",2,"Greeted as I entered and picked a, table in the middle of the restaurant.  Big menu with lots of choices.  Ordered a draft beer and I came quickly to the table.  Ordered a dinner salad and it was promptly served, but it had a lot of brown lettuce in it, mixed with the spinach and other leafy veggies.  The blue cheese dressing was out of a bottle, but was good.  Waitress suggested the Ruben..."
"108","7/29/2016","Kyle B.","Catonsville, MD",5,"OMG one of the best burgers ever..oh yeah, the handcut fries ain't so bad either! The service was great and I would certainly recommend this place."
"109","3/3/2020","Deb P.","Foggy Bottom, Washington, DC",2,"A college bar - not really our scene.  Food just okay. Service just okay. Won't go back."
"110","9/9/2016","Rachel M.","Kent, OH",5,"Ray's is a local staple - let's be real, everyone loves Ray's. Any time alumni visit or family comes in from out of town, Ray's is where they want to go. It's a really cool place, with exposed brick, walls of windows, and two floors - which means two different bars, with different beers on tap depending on where you are. I haven't had anything bad here, but my favorite is definitely the Cuban Sandwich - instead of on a bun, they serve the sandwich on flat bread (which means its huge), and instead of mustard, they serve an annato mayo on the side. And I don't know what's in it, but I wish I did because i would put it on everything. I always ask for extra sauce, and I go through all of it - it's delicious. Ray's is vey well-known for the burgers (and those are good too), but I highly recommend giving the Cuban a try.Ray's drink game is strong, too. Like I said, they have two different bars, which means they have twice as many taps available as most places. And they switch out the options regularly, so there's always something new to try. One thing I'm trying to get into is asking for samples of beers before I make my decision, and Ray's is a great place to start the habit, because there's so much to choose from. If you're not into beer, no worries - they also serve wine, and their cocktails are affordable and well made.Considering how popular Ray's is, it's not uncommon to have a wait, especially if you have a larger party. I've recently noticed that they've started seating guests on the weekends, which is a big culture change. And I'm not sure I like it - Ray's is a bar, and it's set up like a bar. There's no space for a hostess station, and without that, there's no visual cue that you shouldn't seat yourself - so you'll see a lot of confused customers wondering why they can't stay at the table they found for themselves. But it's no reason not to go - just look around as you walk in to see if there's a bartender-turned-hostess running around seating people before you search out a table on your own."
"111","6/1/2019","Kayla M.","Kent, OH",5,"The Blue Cow is amazing!! The sun fries are delicious and Rays place never disappoints!"
"112","8/21/2020","Kennedy M.","Columbus, OH",2,"my food was pretty good but i got bit by a spider that was hiding under the table & my hand went numb"
"113","7/29/2018","Kevin C.","Tucker, GA",5,"I can't say enough good things about this place. I first came here 3 years ago looking for a place with good beer and decent food while I'm in town. I have since been here every single time I have visited. The food is amazing (they smoke all of their meats), beer selection is awesome, and the service is great."
"114","11/15/2018","Lisa B.","Kent, OH",5,"We have came here several times and have never been disappointed. The staff from bartenders to waiters were so helpful, friendly and informative. We let them know we were new in town and they told us about the area and gave us suggestions of places to check out. We love the food and atmosphere here each time we've visited."
"115","5/29/2018","Elaine R.","Akron, OH",3,"Staff were very knowledgeable concerning food allergies but menu just didn't have many options for gluten free and dairy free. My vegetarian friend was very happy with her vegetable stir fry. We happen to visit on a day that a large group was having a birthday bar crawl and looked to be having a lot of fun. My grilled chicken salad was good. The portion was more than generous. Great location and memories from years past spent in this city and on the campus."
"116","2/1/2016","Tiana J.","Kent, OH",1,"This was the worst steak I've ever had in my life!!!! I asked for well done not charcoal!!!! It literally tasted like charcoals and like it fell into the grill pit and they took it out dusted it off and served it...... I am totally disgusted and will never ever eat here again!!!!"
"117","3/2/2018","Valerie P.","Indianapolis, IN",5,"This place is great! The downstairs seems small, but then there's a whole 2nd level with an additional bar and dining space. They have plenty of vegan/vegetarian options outside of your typical bar food option - black bean burger. They accommodated a group of 20-25 of us and made our experience one I'll definitely repeat. Our server, Chris, was super helpful and we'll request him on our next visit. He paid attention and really helped make this visit go smoothly."
"118","1/31/2016","Olwen C.","Lexington, KY",4,"I liked this bar. It was a fun place to hang out and have a couple drinks with friends without spending a fortune. The food was better than most bar food. Their menu is actually pretty extensive and they have daily specials. Everything was very reasonably priced. I had the atomic burger and Cajun fries.  Burgers are only $5-$6 and we ordered a basket of fries to share for 2 people and it was huge. 2 burgers, fries, and 4 beers came to $42. Not bad!"
"119","11/4/2017","Deepak R.","Hudson, OH",5,"Very nice and a friendly atmosphere.  Stopped in for a quick bite. There was no wait time.  Food and wine selections were great . Service was excellent thanks to Brenton. Would definately recommend this place. ThxDR MD"
"120","2/18/2018","Zach A.","Chicago, IL",4,"Very good burger, would have enjoyed brewed iced tea. It looked like they have a nice beer selection but it was lunch time and I was working. Perhaps next time I'm in the area. Nice little place to grab a bite and a drink."
"121","9/11/2017","Matt S.","Akron, OH",3,"Decent place in downtown Kent. The I ordered a burger and fries, burger was good, but I'm always confused/dubious when they don't ask how you want it cooked (it appeared to be medium). The fries were okay, but were a but soggy. Overall, nice place, nothing amazing, nothing bad."
"122","2/20/2018","Rick E.","Los Angeles, CA",5,"Very friendly staff. Huge selection of beers on tap. Magnificent eats. Bartender recommend the Cuban, really good recommendation. Dill pickle fries are a must-try!"
"123","1/23/2016","Kris P.","Aurora, OH",5,"Outstanding food, ambiance, beer list and service. The Mo Fo burger lived up to the hype.  The wait staff is super, helpful and eager to help.  The basket of fries were like going to the fair.  The Reuben was enormous but so full of flavor.  The burgers are flame grilled with the edge crust that makes the burger.  They cook their burgers to medium and it was delicious. Must stop in Kent.  Plus, extensive beer menu!  Always a plus."
"124","10/16/2019","Scott B.","Twinsburg, OH",5,"I work in Ravenna, and decided to stop by Ray's for lunch with co-workers and I was very impressed with it. I had the BLT with jerk fries (fries with jerk seasoning) and it was all very tasty. The service was good, the servers were friendly, and the food came out in a timely manner. The place has a nice atmosphere, I will make it a point to check it out after hours sometime so I can sit at the bar and drink."
"125","7/26/2018","Jock E.","Stow, OH",5,"Best place in Kent hands down. They don't try to rip you off with a 8 oz pour of something that's only 9%"
"126","12/17/2010","Krystal D.","Manassas, VA",3,"Updating my review...but keeping the rating the same.  Here's why.I like Ray's.  Really.  It's my favorite place to go with friends after a long week of graduate school work.  I love the atmosphere and the staff members who work there are great.  And yeah, they still serve Woodchuck.I do have two gripes.  First, they're kind of overpriced for what they serve.  I somehow managed to drop $50 here last time.  And they have a really bad habit of ""forgetting"" to give you the happy hour discounts.  From 4-9pm on most days they offer $1 off all drafts.  Well, when you get your bill later in the night, your discounts aren't reflected.  And your server will probably make a huge fuss if you ask that you bill be fixed.Gripe two: The food really sucks.  On my last review, I said it was passable.  I don't think so anymore.  Last time I went I ordered a grilled cheese and when they brought it out, the cheese wasn't even melted.  So, I sent it back.  When it was returned to me, it was exactly the same as when I sent it back, so they obviously didn't do anything to it.  Also, it tastes like they put salt all over the bread.  Really gross.  I've had similar issues with the quesadillas, the hummus (their hummus is foul), the veggie burger (also foul) and many other things.  The only ""Safe"" menu option is the sun stix (sweet potato fries) and even those are mediocre compared to other places.Go for the drinks and for the company, but do not go for the food."
"127","12/1/2009","Theresa H.","Streetsboro, OH",5,"Micheal Symon from network had this place on Best thing I ever ate. He was right the food is great and so is the service, I had a bacon cheese Philly and it was great.  I will be going back again. Kids can come here too."
"128","8/30/2017","Aaron A.","Cleveland, OH",4,"You can't go wrong with their burgers and wings, some of the best in the county.  But this time I tried the corned beef sandwich on their special pumpernickel roll, if your into a lot of bread this is for you, if not, I recommend something else, the bread to meat ratio is way off."
"129","7/13/2017","Jil C.","Kent, OH",5,"Fantastic food, warm inviting environment. Great little neighborhood restaurant. Always happy to enjoy their food."
"130","8/29/2017","Mary S.","White Lake, MI",3,"I went to Ray's on a Sunday afternoon. The first bartender who approached us had a bad attitude but the second one was delightful. I ordered a veggie burger and it was delicious as well as the sweet potato fries. However, NEVER order a margarita. They are disgusting and taste like tequila and salt water. Other than that, it was enjoyable."
"131","8/29/2017","Eric D.","Arlington, VA",5,"Cannot call yourself a true Flash until you go to Rays. Amazing food and some awesome drinks for a great price. I enjoy the MOFO with a long island. Nothing better to get over a exam than a trip to Rays. I did order a Tequila Sunrise and the bartender was upset with my choice which soon became a LI, so you will also learn what a girl drink is lol."
"132","5/13/2015","Brett A.","Kent, OH",4,"Who doesn't like Rays? It is beloved by townies and students alike. Their food is great, their beer selection is great. LOVE that they have Strongbow on tap! They have an upstairs and a downstairs, large bars, a couple pool tables, and an open air area in the summer. If you aren't getting beer, the drinks are a bit pricey for the pour you get and it does get super crowded to the point sometimes you just can't go in. But those are the only downfalls. Overall, 4 stars."
"133","2/4/2017","Steven G.","Orlando, FL",4,"Nice bar. Good food. Bartenders were really nice and knowledgeable. Jake was our bartender and really knew his beer and helped us get a good beer we liked. It's not hard to be nice and these guys know how to do it! Thanks for the good experience."
"134","5/26/2018","Luke L.","Zanesville, OH",1,"I was in town and read some good reviews so thought I'd try it out. Ordered a newer item the poutine. Their version has fries, pork, pork gravy, green onions and sprinkled with lettuce. I was pretty pumped until it showed up. I've had poutine at dozens of places, and I like all the ingredients they had listed but this dish showed up in a disgusting pile and just didn't work together. The wilted lettuce on top just made it worse. I tried to be open minded and tried a couple bites before giving up. When I went to pay my tab the bartender had left it on there, I had already told him i wasn't happy with the dish and returned 95% of it. He simply told me ""yea it's not a traditional poutine"" (DUH!) and never offered to take it off. I'm a generous tipper and not afraid to spend money on  good food, won't be back here though !"
"135","7/13/2017","Lisa T.","Cleveland, OH",2,"Stopped here when at Kent for a college function.  The place was pretty busy so I figured it had to be good.  At the encouragement of the waitress pumping the smoked meat, I decided on pulled pork.  Everything is ala carte so I also ordered cole slaw and rings.Pulled pork was medium warm.  Overly smoked and sauce was bland and salty.  Cole slaw was typical and fresh.  Rings were heavily breaded and greasy. This is the place for late night, drunk dining.  I wouldn't rexommend otherwise on what I ordered.Service was immediate and friendly."
"136","5/1/2016",NA,NA,NA,NA
"137","11/1/2014","Rachael B.","Valencia, PA",3,"The food was tasty. The service was not so good. The waiter rushed us throughout our entire meal, even taking away food we hadn't finished. He made our experience a bit uncomfortable.The spicy garlic wings are good....try them!"
"138","10/6/2015","April H.","Columbus, OH",5,"Couldn't get enough of this place.  During my first visit to Kent, we went here twice in one day, once during the day and the other late at night.  Their Cuban sandwich is memorable.   I usually forget how foods taste after like 2 or 3 days, but its been about 60 days since I've had their food and I remember it.  Their menu describes their version of the Cuban as a sandwich with ""ham, smoked pork, swiss cheese and dill pickles pressed together between grilled flatbread.  Served with a side of Annato mayonnaise."" I was salivating as I was eating the sandwich--it was that good!  That Annato mayo was something else, I'd like to take a bottle of it home and just put it on everything I make.  When we went to Rays later that day for their night life, their kitchen was closed but they still had cold sandwiches. I had the turkey sandwich.  I'm not much of a cold sandwich person, but I was hungry, it tasted good and it did the trick.  They stuffed that sandwich with A LOT of juicy turkey!    Great experience!  I'll be back the next time I'm in Kent."
"139","10/27/2015","Frank G.","Girard, OH",4,"Nice place. Great atmosphere and the burgers where awesome. Definitely will come back again"
"140","7/1/2016","Pam C.","Indiana, PA",2,"I've been to Ray's about a half-dozen times  before as I live three hours away from my best friend in Kent. I usually stick to the burgers - I love them - but this time I decided I felt like the hot pastrami on grilled rye sandwich and some fries. The fries were great, as was my friend's Cuban sandwich, but unfortunately the pastrami on my sandwich was so caked in straight black pepper that it was inedible - black pepper was all I could taste, even on the meat that was away from the peppered edges. Couldn't taste the rye bread, the swiss cheese or the whole-grain mustard. I called the waitress over so I could just send the sandwich back and have it removed from my bill, and I'd just finish the fries. Wasn't very impressed when she told me (very kindly - no fault to her) that the sandwich couldn't be removed from the bill and my only options were to have a corned beef sandwich or a sandwich (didn't get the name) that apparently comes with pastrami and cole slaw; the cole slaw would apparently 'calm the pepper down'? Then there was a remark in the direction of telling me all about how pastrami was made - I make it myself at home (and yes I do use pepper) so that was a little condescending and not really necessary. I understand the stuff gets a pepper rub on the outside, and I put plenty on mine but yours is too much. I saw slices of meat with nearly a quarter-inch of pepper on the rim. So to wind it up, I would have been pleased if this had happened differently. There shouldn't be any quibble about taking a sandwich off a check if your customer finds it inedible after three bites! It's *very* bad business to make a customer pay for inedible food, and also bad business to not have a manager to the table to discuss what went wrong. There was some kind of a discount applied to the check by the server which was nice but it wasn't the whole amount of the sandwich. And on another note, my friend and I both were looking for beers and the beer list is so heavy with IPAs there were hardly any other types to choose from. Maybe shake it up a little bit and remember there's a large (very large) segment of the population that find IPAs bitter and weirdly grapefruity. So, two stars for the inedible food with no manager apology, too IPA-heavy beer list, and the policy of not immediately taking inedible food off a customer's check. All my other visits would have been a 4 or 5 star and I'm hoping next time I come back I can give one of those."
"141","9/2/2016","Lauren P.","Myrtle Beach, SC",5,"Great service, warm ambience, and excellent food! This is my go to stop when I go out to eat in Kent. They have award winning burgers and the wings are pretty fabulous too (just order them extra crispy!) They feature specialty drinks each month, and the bartenders have to pass an exam before serving so they know what they are doing. Try their long island (better than any other I've had) or futhermucker if you want something a little sweeter."
"142","3/23/2018","Debbie N.","North Canton, OH",1,"My first time there was last night, March 22, took 43 minutes to get our food, which came out lukewarm except for the onion rings and they were cold. My burger was so dry that I might as well been eating peanut butter off a spoon. Needless to say, won't be going back!"
"143","12/15/2018","Richard H.","Wadsworth, OH",5,"Great local bar with adequate food selection and a wonderful atmosphere in downtown Kent."
"144","3/13/2017","Paul N.","Avon Lake, OH",4,"Found this place on Yelp and gave it a try - glad we did! The craft beer selection was very good and we tried the famous Ray's Reuben sandwich with a side of coleslaw. Both were delicious. All the other reviews were true - great place to drink, hang out with friends and eat if you feel like it. Classic college town pub atmosphere."
"145","10/8/2018","Zane D.","Kent, OH",4,"The best bar in Kent to go for a burger, and beer. A downtown Kent classic! Good atmosphere, and lots of selection!"
"146","9/24/2016","Jessica I.","Rocky River, OH",4,"Nothing fancy, but a great burgers-and-fries place if you're down for some casual fare. Prices are more than reasonable and portions are ample. Great craft beer selection, too. FYI, there is an upstairs, so don't be discouraged if the downstairs is full. Try this if you're in the neighborhood for a show at the Kent Stage, as it is right around the corner."
"147","9/25/2016","Emma W.","Bay Village, OH",5,"Yummy and fun! This is such a great, young restaurant/bar. There atmosphere is hip, quirky, and exciting. Their Long Island is the favorite drink for everyone. Their burgers are delicious as well. I have a lot of fun whenever I come here no matter what hour it is (dinner time or going out time). I recommend coming here with a group of friends to hang out and eat some appetizers. The conversations will flow and no one will want to leave!"
"148","3/26/2017","Madeline S.","Kent, OH",5,"Rays is my go to place any time my family or friends come into town. With a great bar/restaurant atmosphere, friendly waiters, and delicious food there really is no place like Rays!"
"149","3/11/2012","Jaime W.","Houston, TX",3,"Since I was visiting my baby sis in college (Kent), I came here for lunch with them, hearing that there's this MOFO burger that was pretty awesome to try. Even if I'm on this strict diet of mine, I decided to try it anyways since I came from out of town and supposedly it's amazing. Boy, was I right. It felt like I didn't have a burger in ages! Stacked with 2 meat patties and all the works, it was DE-licious. It's definitely a lot to consume for 1 person so I split it up with my sister. The bottom bun got soggy after having it stacked with lots of ingredients on top but I didn't care much about it anyways since I was starving. Along with our burgers, we also ordered their sweet potatoe fries which was good as well but we ordered way too much food for just 4 of us. We were stuffed! As far as the place goes, it's a casual. So nothing fancy at all. It is a bar at night but during the daytime, they serve breakfast and lunch. The bathrooms were a bit out-dated and kinda gross. But what can you expect from a bar that was probably filled with college students the night before?"
"150","7/25/2017","Scott A.","Arlington, VA",5,"The shrimp appetizer is the reason I come the 100 beers on tap is the reason I found out about it and the atmosphere is why I have a hard time leaving"
"151","7/24/2017","Kathleen P.","Downtown, Cleveland, OH",1,"Waiter is awesome; on top of orders and available. However, we paid to play the TouchTunes off our phone apps, and the bar refuses to turn the volume up because they say they prefer to play regular radio music instead... WHAT?!  Cannot even hear the radio music."
